Espèce;1;2;3;4;5;7;8;9;10;12;13;14;15;16;17;18
Alexandrium sp.;80;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
Amphidinium crassum;0;40;0;40;0;0;80;40;0;0;0;0;0;0;0;0
Amphora sp.;40;40;160;40;200;360;360;320;200;240;200;480;560;320;360;80
Attheya sp.;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
Bacillaria paxillifer;0;0;0;200;0;0;0;0;0;0;0;0;0;0;160;0
Bacteriastrum hyalinum;0;0;0;0;0;520;0;0;0;200;0;0;520;0;0;0
Chaetoceros cf. compressus;0;0;0;1200;480;1560;1920;2400;1000;0;0;0;0;0;3760;0
Chaetoceros convolutus;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
Chaetoceros curvisetus/debilis;8640;1800;2720;2640;2080;10080;6480;12370;7640;2160;4560;2120;7680;3240;10090;1200
Chaetoceros danicus;0;0;40;120;0;200;200;120;200;0;0;0;0;40;200;0
Chaetoceros decipiens/lorenzianus;680;360;0;600;800;480;720;800;560;80;640;800;1720;160;640;120
Chaetoceros densus;0;0;0;0;0;0;0;160;320;0;0;0;40;0;60;0
Chaetoceros didymus/protuberans;240;0;0;160;0;440;320;1040;560;160;1440;320;200;0;440;0
Chaetoceros eibenii;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0
Chaetoceros socialis;9120;1560;2520;920;1120;3520;4080;7420;5440;1800;1920;280;320;2480;2160;1400
Chaetoceros solitaire ;3840;1560;520;960;1320;760;1680;1440;1640;1440;1920;1280;600;1000;1320;1440
Chaetoceros sp.;1960;1320;1000;1960;200;720;2640;13200;3960;240;2400;600;120;2360;8650;920
Chaetoceros tenuissimus;0;1670;970;6670;1940;0;0;3340;0;0;970;1930;0;0;1940;0
Chaetoceros wighamii;1880;3160;1240;2880;560;4800;1440;1840;2600;2440;720;360;1800;1320;2600;1960
Cocconeis sp.;1160;6600;1360;880;800;320;240;240;320;880;560;520;280;240;280;1240
Coscinodiscus sp.;0;240;80;0;0;120;0;0;0;40;0;40;200;0;400;0
Coscinodiscus petit sp.;0;0;0;640;0;0;0;840;0;0;0;0;0;0;0;0
Coscinodiscus wailesii;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0
Cylindrotheca closterium;5280;2440;1400;2280;3600;4320;6720;4950;4320;3360;5760;4320;2400;3160;3560;2880
Dactyliosolen blavianus;160;0;40;80;40;240;200;320;160;80;40;80;0;120;120;120
Dactyliosolen fragilissimus;280;240;40;680;40;280;2400;2480;1480;200;1440;240;440;920;1720;80
Detonula pumila;600;400;320;360;80;800;0;1600;1320;200;160;640;1160;360;760;160
Diatomée centrique n.i.;9600;4950;4800;13200;11520;1920;10080;16500;6720;6720;8160;3840;1160;9130;13450;7210
Diatomée pennee n.i.;1010;2480;7730;3720;970;25140;5800;8250;10630;2900;6770;4830;17500;12570;19330;0
Diatomée pennee longue n.i.;40;0;0;0;0;80;80;160;40;0;40;0;0;0;0;0
Dictyocha fibula;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0
Dino n.i.;680;360;760;1000;80;800;1640;1080;680;480;3340;160;360;440;520;160
Dinophysis acuminata;0;0;0;0;0;40;0;0;0;0;0;40;0;0;0;0
Diploneis sp.;80;0;120;320;200;80;40;80;120;160;0;0;120;80;240;120
Ditylum brightwellii;0;0;0;40;40;40;0;0;0;0;40;0;40;0;40;0
Ensiculifera carinata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0
Eucampia zodiacus;240;0;120;200;0;80;120;200;600;0;200;0;0;280;280;120
Gonyaulacales;200;0;0;0;0;80;0;0;0;0;0;0;200;0;160;0
Gonyaulax sp.;0;40;0;40;0;0;0;0;0;80;0;0;0;0;0;40
Gonyaulax spinifera;0;0;320;0;0;0;0;0;0;0;0;0;0;0;0;0
Grammatophora marina;0;40;0;80;0;0;0;0;0;0;0;0;0;0;0;0
Guinardia delicatula;2400;1440;520;9070;5280;15360;6240;11550;14890;3600;25440;13920;10080;12490;12970;5280
Guinardia flaccida;0;0;0;0;0;0;160;120;40;80;40;0;40;40;0;0
Guinardia striata;720;360;80;80;240;960;480;1360;880;760;1040;1120;1120;200;160;560
Gymnodiniales;240;40;120;0;970;0;400;0;600;80;80;200;400;120;600;0
Gymnodiniales petit;0;5000;0;440;0;0;0;760;2900;0;0;0;0;0;440;4830
Gyrodinium fusiforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0
Gyrodinium sp.;40;0;120;240;0;240;320;440;280;0;120;120;80;80;360;0
Gyrodinium spirale;0;0;0;0;0;0;0;40;80;0;0;0;0;0;40;0
Heterocapsa minima;28040;11670;1940;11670;12610;4890;11600;23340;970;14500;3870;1930;1930;5800;9720;7730
Karenia mikimotoi;1930;0;0;240;0;0;240;200;360;0;0;0;0;40;0;0
Karenia sp.;0;0;0;0;0;2900;0;0;0;0;0;0;0;0;0;0
Lauderia annulata;40;0;0;0;0;40;400;40;0;80;0;0;480;40;0;0
Lebouridinium glaucum;0;80;120;400;120;240;480;560;400;0;360;120;240;80;640;0
Lennoxia faveolata;970;1670;3890;1670;1940;4830;970;6670;9720;3870;1930;3890;1930;11670;3870;970
Leptocylindrus danicus complex;29760;26400;82170;240070;43200;837420;740720;664950;686340;53760;212640;311370;721380;304090;602240;21620
Leptocylindrus minimus complex;0;320;200;800;0;680;5280;6600;2400;360;1680;23520;1680;400;1680;200
Licmophora sp.;120;80;40;240;40;0;0;0;0;40;40;40;40;0;40;0
Lithodesmium undulatum;400;560;200;120;0;0;0;40;0;0;0;0;0;0;160;120
Meuniera membranacea;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0
Micracanthodinium claytonii;0;0;0;40;0;0;0;40;80;0;0;0;40;0;120;0
Navicula sp.;0;0;0;120;280;120;0;240;40;0;0;0;0;0;200;0
Nitzschia longissima;40;80;280;40;160;0;0;0;0;40;80;0;0;0;0;40
Nitzschia sp.;1000;120;520;800;0;40;520;240;200;320;80;0;0;400;800;120
Noctiluca scintilans;0;0;0;40;0;0;0;0;0;0;40;0;0;0;0;0
Octactis speculum;0;0;0;40;0;160;120;80;40;80;120;80;200;40;160;0
Paralia sulcata;200;0;120;160;200;0;200;720;120;160;120;0;0;0;0;0
Peridiniales;0;0;0;0;0;0;200;240;80;0;0;0;0;0;0;0
Pinnularia sp.;360;40;160;80;120;80;40;200;80;200;40;240;240;80;160;40
Pleuro/Gyro-sigma;960;320;720;600;1040;40;80;0;0;400;160;80;0;160;120;320
Pleurosigma sp.;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Podosira stelligera;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0
Pseliodinium fusus;0;0;0;0;0;0;0;40;0;0;0;0;0;0;40;0
Pseudo-nitzschia delicatissima;400;80;880;2600;320;12480;7200;2890;8170;560;1000;3760;8640;5280;6730;240
Pseudo-nitzschia multistriata;800;520;640;720;1040;2400;2640;4960;2880;640;920;1000;1680;3840;2120;440
Pseudo-nitzschia sp.;400;400;840;520;520;1880;2640;1650;2880;40;1040;1120;1440;2880;1680;280
Proboscia alata;0;0;40;80;40;560;360;400;480;0;0;40;360;40;240;0
Proboscia indica/truncata;0;0;0;0;0;0;40;0;0;0;0;0;0;0;120;0
Prorocentrum micans;240;0;40;520;40;40;200;80;120;0;200;320;440;0;200;120
Prorocentrum triestinum;1200;360;5280;9070;960;9120;16320;12370;17770;1680;4320;8640;16320;5760;11050;2880
Protoperidinium bipes;40;0;80;120;0;40;40;0;40;40;80;0;0;0;80;40
Protoperidinium claudicans/latidorsale;0;0;40;0;0;0;0;0;0;0;40;40;40;0;0;0
Protoperidinium conicum;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0
Protoperidinium depressum;0;0;0;0;0;0;80;0;0;0;0;0;0;0;80;0
Protoperidinium divergens;0;0;0;40;0;0;0;0;0;0;40;40;0;0;40;0
Protoperidinium ovatum;0;0;0;0;0;0;0;40;0;0;0;0;0;0;40;0
Protoperidinium pellucidum;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0
Protoperidinium pyriforme;0;0;0;0;0;0;0;40;0;0;0;0;0;40;0;0
Protoperidinium sp.;0;0;0;120;0;0;40;120;0;0;40;80;40;80;80;0
Protoperidinium steinii;0;0;0;40;0;0;40;0;0;0;0;0;40;0;0;0
Rhizosolenia imbricata;40;0;0;200;40;280;80;200;760;240;80;120;680;120;80;0
Rhizosolenia pungens;0;0;0;0;0;360;160;0;240;0;0;80;880;0;0;0
Rhizosolenia setigera;1560;4360;1120;920;1680;2080;3120;2160;2880;1960;760;1120;1360;1480;2480;4560
Rhizosolenia sp.;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0
Rhizosolenia styliformis;0;0;0;0;40;0;0;0;40;0;0;0;0;0;0;0
Scrippsiella sp.;0;0;120;40;0;120;160;320;440;0;240;120;40;0;320;0
Skeletonema sp.;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Striatella unipunctata;40;0;40;80;0;0;0;0;0;0;0;0;0;0;0;0
Thalassionema nitzschioïdes;920;440;400;760;240;160;280;280;840;200;40;200;160;600;1240;440
Thalassionema sp.;0;400;0;0;0;0;0;520;0;0;0;0;0;0;0;0
Thalassiosira sp.;0;0;0;600;0;0;0;0;40;0;0;0;0;0;0;0
Toxarium undulatum;0;1480;0;0;0;0;0;0;0;40;0;0;0;0;0;0
Torodinium robustum;0;0;0;0;40;80;80;120;40;0;80;40;160;0;80;0
Tripos lineatus;0;0;40;160;0;0;80;0;80;0;40;0;40;0;80;0
Tripos furca;0;0;0;0;0;40;80;40;0;0;0;0;0;40;0;0
Tripos fusus;0;0;0;0;0;0;40;0;0;0;0;80;0;0;0;0
